"ADMIN0","IU_ID","IUs_NAME","Cov2000","Cov2001","Cov2002","Cov2003","Cov2004","Cov2005","Cov2006","Cov2007","Cov2008","Cov2009","Cov2010","Cov2011","Cov2012","Cov2013","Cov2014","Cov2015","Cov2016","Cov2017","Cov2018","Cov2019","Cov2020","Cov2021","Cov2022","MDA_schemebefore2013","MDA_scheme2013","MDA_scheme2014","MDA_scheme2015","MDA_scheme2016","MDA_scheme2017","MDA_scheme2018","MDA_scheme2019","MDA_scheme2020","MDA_scheme2021","MDA_scheme2022"
"Mauritania","MRT31080","Tidjikja",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31079","Tichit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66084","Alborgag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66095","Port Sudan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66090","Marawai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66097","Senkat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mali","MLI29991","Kidal",0,0,0,0,0,0,0,0,0,54.9052774,91.93995537,70.2811245,0,0,59.52,18.37,29.81,33.47,74.89,0,0,0,0,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66096","Sawken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mali","MLI29993","Tin-Essako",0,0,0,0,0,0,0,0,0,97.09697344,83.04691129,81.47284239,0,0,19.06,45.08,25.81,22.06,68.07,0,0,0,0,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered"
"Chad","TCD10665","Fada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
